league_type,match_time,match_duration,team1,score,team2,half_score
国际友谊,23:00,完,菲律宾 U17(女)(中),0vs1,瑞典 U17(女),0vs0
沙地甲,23:05,完,塔拉基,0vs1,费萨里哈曼,0vs1
阿塞杯,23:59,完,卡拉巴克,3vs4,沙巴巴库,1vs2
芬联杯,23:59,完,AC奥卢(中),0vs1,伊尔韦斯,0vs1
球会友谊,23:59,完,科维特科维采,1vs7,布兰斯科,1vs2
巴林甲,23:59,完,阿阿里,5vs0,伊萨城,2vs0
巴林甲,23:59,完,布戴亚,2vs0,泰达姆恩,2vs0
巴林甲,23:59,完,马勒基亚,2vs0,乌姆艾哈桑,1vs0
坦桑超,23:59,完,非洲年轻人,2vs1,马舒贾足球俱乐部,1vs0
冈比亚甲,23:59,完,贡古尔,0vs1,塞雷昆达联队,0vs0
冈比亚甲,23:59,完,甘比亚港,2vs0,BK米兰,1vs0
乌干超,23:59,完,维普斯,0vs0,卡扎菲FC,0vs0
马里甲,00:10,完,布尔古尼,0vs1,佐里巴,0vs1
毛里乙,00:15,完,韦达德阿拉法特,0vs1,ASC警察,0vs1
球会友谊,00:30,完,阿萨纳,2vs0,力斯克罗斯特,0vs0
以丙,00:30,完,比达亚夫内,0vs1,MS耶路撒冷,0vs0
摩洛超,01:00,完,查巴穆罕默迪耶,0vs3,拉巴特皇家武装力量,0vs1
摩洛超,01:00,完,莫罗迪亚,1vs0,贝尔卡勒,1vs0
科元首杯,01:00,完,卡德西亚,2vs1,阿拉毕科威特,2vs0
利比亚甲A,01:00,完,阿赫利班加西,2vs3,安瓦,1vs0
纳米超,01:00,完,孔斯南浦港,2vs1,奥兰多海盗温得和克,0vs0
国际友谊,01:00,完,挪威 U17(中),0vs1,瑞典 U17,0vs1
国际友谊,01:00,完,阿联酋 (女),1vs0,伊拉克(女),0vs0
德女杯,01:30,完,法兰克福 (女),2vs1,费雷堡 (女),1vs0
球会友谊,01:30,完,科尔丁Q (女),0vs2,奥丹斯 (女),0vs0
土杯,01:45,完,安塔利亚,1vs2,贝西克塔斯,1vs0
球会友谊,02:00,完,高灵,0vs5,比绍夫斯霍芬,0vs0
球会友谊,02:00,完,圣约翰,3vs0,库驰,3vs0
皇后杯,02:00,完,利云特 (女),1vs2,皇家苏斯达 (女),1vs0
以女甲,02:00,完,耶路撒冷夏普尔 (女),0vs0,拉马特哈萨隆 (女),0vs0
以女甲,02:00,完,马卡比齐索罗诺哈德洛 (女),1vs1,ASA特拉维夫 (女),1vs1
西丁,02:00,完,马略卡B队,0vs0,桑塔尼,0vs0
巴伯联,02:00,完,法林明高PE,2vs3,达因加泽拉FC,2vs3
巴波联,02:00,完,圣塔库鲁纳塔尔RN,2vs2,阿美利加RN,1vs1
巴利甲,02:00,完,帕拉罗阿DF,1vs0,圣玛利亚DF,1vs0
以丙,02:00,完,馬卡比巴尼阿布蘇南(中),5vs0,塔玛拉马卡比,2vs0
巴女锦U20,02:00,完,米内罗竞技 U20(女),1vs0,金德曼 U20(女),1vs0
巴女锦U20,02:00,完,布拉甘蒂诺女子U20(中),0vs4,格雷米奥 U20(女),0vs1
球会友谊,02:10,完,希拉尔,2vs0,纳撒利雅德,2vs0
以女甲,02:10,完,凯尔耶特 (女),0vs1,彼達提克瓦伊諾尼夏普 (女),0vs1
以丙,02:15,完,马卡比阿力伊斯尔,2vs1,夏普尔布内慕斯,1vs1
球会友谊,02:30,完,奥伯罗登,2vs1,哈瑙,2vs0
以女甲,02:30,完,布尔尼坦亚 (女),2vs0,拉那那夏普尔 (女),1vs0
巴国诺联,02:30,完,伊波拉GO,1vs3,戈亚图巴GO,0vs0
巴帕拉甲,02:30,完,加坦哈尔PA,2vs3,卡埃特PA,1vs1
巴利甲,02:30,完,首都DF,5vs1,瑟兰迪亚DF,2vs0
巴利甲,02:40,完,普拉纳尔蒂纳DF,0vs1,萨曼拜亚DF,0vs1
葡杯,02:45,完,甘马雷斯,3vs1,吉尔维森特,3vs1
里约锦TG,02:45,完,诺瓦艾夸古RJ,1vs0,米底那RJ,0vs0
巴卡皮联,02:45,完,新贝内西亚ES,1vs3,波尔图维托利亚ES,1vs1
球会友谊,02:50,完,阿米蒂FC,0vs2,布拉克FC,0vs0
匈甲,03:00,完,科斯克米提,2vs1,迪欧斯捷尔,1vs0
荷兰杯,03:00,完,格罗宁根,0vs0,锡塔德命运,0vs0
比利时杯,03:00,完,奥斯坦德,1vs1,安特卫普,1vs1
球会友谊,03:00,完,巴伦德瑞契,1vs4,鹿特丹斯巴达 (后备),1vs0
巴帕联,03:00,完,独立FSJ PR,0vs1,欧帕瑞欧PR,0vs1
巴帕拉甲,03:00,完,卡納PA,0vs0,圣塔罗莎PA,0vs0
马耳他杯,03:15,完,咸仑斯巴坦(中),3vs0,古达加联,2vs0
冰联杯,03:15,完,KA阿克雷里,3vs1,达尔维克,1vs1
法国杯,03:45,完,卢昂,1vs1,摩纳哥,1vs1
阿后备,03:50,完,贝尔格拉诺 (后备),3vs0,图库曼体育会 (后备),1vs0
皇后杯,04:00,完,马德里体育会 (女),2vs1,皇家马德里 (女),1vs0
冰联杯,04:00,完,阿克拉内斯,5vs2,阿费查尔丁,2vs0
阿后备,04:00,完,甘拿斯亚 (后备),1vs1,河床 (后备),0vs0
阿后备,04:00,完,沙士菲 (后备),3vs0,圣罗伦素 (后备),2vs0
阿后备,04:00,完,利斯特雷 (后备),0vs0,联合队 (后备),0vs0
奥南美预,04:00,完,阿根廷 U23(中),3vs3,巴拉圭 U23,1vs1
巴女锦U20,04:00,完,费罗维里亚 U20(女),2vs0,山度士SP U20(女),1vs0
冰女联杯,04:15,完,斯洛图尔 (女),2vs5,哈夫纳夫约杜尔 (女),0vs2
巴马全联,04:30,完,阿卡德锦标,4vs2,巴拿马大学,3vs0
葡杯,04:45,完,维赛拉,1vs2,本菲卡,0vs1
巴马全联,05:00,完,巴拿马阿连扎 (后备),1vs2,圣马丁足球俱乐部,1vs1
